Note	编写说明
Nov-25	2025年11月
Nov-25	2025年11月
Nov-25	2025年11月
Oct-25	2025年10月
Sep-25	2025年9月
Sep-25	2025年9月
Preface	前言
Preface	前言
Preface	前言
Preface	前言
Preface	序言
Preface	前言
Wang Yi	王毅
Preface	前言
Cheers!	干杯！
Preface	前言
Preface	前言
Cheers!	干杯！
3-Dec-25	2025年12月3日
Contents	目录
Contents	目录
Contents	目录
Contents	目录
Contents	目录
6-Oct-25	2025年10月6日
2-Oct-25	2025年10月2日
Contents	目录
Contents	目录
Foreword	前言
29-Dec-25	2025年12月29日
20-Nov-25	2025年11月20日
16-Nov-25	2025年11月16日
Comrades,	同志们：
24-Oct-25	2025年10月24日
13-Oct-25	2025年10月13日
30-Sep-25	2025年9月30日
28-Aug-25	2025年8月28日
19-Aug-25	2025年8月19日
12-Aug-25	2025年8月12日
Conclusion	结束语
2025 12 30	2025年12月30日，北京
Conclusion	结束语
Conclusion	后记
Conclusion	结束语
Conclusion	结语
Thank you.	谢谢大家！
Thank you!	谢谢大家！
Thank you.	谢谢大家！
Xi Jinping	习近平
Thank you!	谢谢大家！
Thank you.	谢谢大家！
Thank you.	谢谢大家。
Conclusion	结语
Xi Jinping	习近平
Conclusion	结束语
Conclusion	结束语
Thank you.	谢谢大家。
Conclusion	结语
Thank you.	谢谢大家！
Thank you.	谢谢。
Thank you.	谢谢。
Thank you.	谢谢。
Thank you.	谢谢。
Thank you.	谢谢。
Thank you.	谢谢。
Thank you.	谢谢。
Thank you.	谢谢。
Colleagues,	各位同事：
Colleagues,	各位同事：
Colleagues,	各位同事：
Colleagues,	各位同事：
Writers Note	编写说明
– Xi Jinping	习近平
Introduction	引言
Introduction	引言
Good morning!	大家好！
Good morning.	大家上午好！
Good afternoon.	大家下午好！
September, 2025	2025年9月
Greetings to all!	大家好！
Table of Contents	目录
Colleagues, COP30	各位同事：
Table of Contents	目录
Table of Contents	目录
Table of Contents	目录
Concluding Remarks	结语
H.E. Ding Xuexiang	丁薛祥
Honorable Leaders,	尊敬的各国领导人，
Peace must prevail.	和平必须压倒一切。
Ladies and Gentlemen,	女士们，先生们，
Comrades and Friends,	同志们，朋友们：
Distinguished Guests,	各位嘉宾，
Distinguished Guests,	各位嘉宾，
What is your comment?	谢谢。
Are they ready to act.	他们准备好采取行动了吗？
Friends, Good morning!	大家上午好！
Friends, Good evening.	女士们，先生们，朋友们： 大家晚上好！
Belem, November 6, 2025	2025年11月6日，巴西贝伦
I. The Drafting Process	一、建议稿起草过程
Xinhua Institute 2025 9	新华社研究院
For humanity. For peace.	弘扬正义，造福人类，守护和平。
Dear Experts and Friends,	大家好！
Beijing, October 27, 2025	2025年10月27日
Beijing, October 24, 2025	2025年10月24日，北京
1.5 Enhanced Ethnic Unity	五、民族团结增进
Distinguished Colleagues,	各位同事：
And let s #ActForHumanity	让我们为人道而行动
